student_id,week,cohort,base_score,score
5,2,Baseline (Traditional),35,35.66931959859525
5,3,Baseline (Traditional),37.5,36.704845549313276
5,4,Baseline (Traditional),40,38.835171247631614
5,5,Baseline (Traditional),42.5,35.56241186300285
5,6,Baseline (Traditional),45,43.90908667306959
5,7,Baseline (Traditional),47.5,40.300282073212706
5,8,Baseline (Traditional),50,54.61096390721215
5,9,Baseline (Traditional),52.5,48.48672205763199
5,10,Baseline (Traditional),55,55.59284017717015
5,11,Baseline (Traditional),57.5,59.577986722996705
5,12,Baseline (Traditional),60,60.02174517790304
5,13,Baseline (Traditional),62.5,67.88808333861576
5,14,Baseline (Traditional),65,61.61186633081602
5,15,Baseline (Traditional),67.5,69.27359206926309
6,1,Baseline (Traditional),32.5,28.591402126706747
6,2,Baseline (Traditional),35,43.497964542054426
6,3,Baseline (Traditional),37.5,40.25079584224616
6,4,Baseline (Traditional),40,38.626527119278414
6,5,Baseline (Traditional),42.5,45.640677890695784
6,6,Baseline (Traditional),45,40.37769015691793
6,7,Baseline (Traditional),47.5,53.535665385570795
6,8,Baseline (Traditional),50,45.37801535897058
6,9,Baseline (Traditional),52.5,46.272752759173265
6,10,Baseline (Traditional),55,54.779008299105776
6,11,Baseline (Traditional),57.5,60.89677265081086
6,12,Baseline (Traditional),60,59.955613109985364
6,13,Baseline (Traditional),62.5,59.458744672877124
6,14,Baseline (Traditional),65,69.70319700670495
6,15,Baseline (Traditional),67.5,77.15779883613904
7,1,Baseline (Traditional),32.5,24.665948927095474
7,2,Baseline (Traditional),35,40.8943595737192
7,3,Baseline (Traditional),37.5,35.60046415400508
7,4,Baseline (Traditional),40,43.92468393514349
7,5,Baseline (Traditional),42.5,35.20257912185376
7,6,Baseline (Traditional),45,43.95755673059093
7,7,Baseline (Traditional),47.5,43.66461874970536
7,8,Baseline (Traditional),50,48.0388171597339
7,9,Baseline (Traditional),52.5,48.190813145597375
7,10,Baseline (Traditional),55,56.47770364217779
7,11,Baseline (Traditional),57.5,62.3650659245574
7,12,Baseline (Traditional),60,58.02462705754359
7,13,Baseline (Traditional),62.5,61.58886111609125
7,14,Baseline (Traditional),65,60.553404451810906
7,15,Baseline (Traditional),67.5,71.4833323576385
8,1,Baseline (Traditional),32.5,34.74731556378435
8,2,Baseline (Traditional),35,28.742885773936486
8,3,Baseline (Traditional),37.5,43.42430807642124
8,4,Baseline (Traditional),40,35.323179399551066
8,5,Baseline (Traditional),42.5,38.29194585013458
8,6,Baseline (Traditional),45,39.1126179006839
8,7,Baseline (Traditional),47.5,42.72625231694326
8,8,Baseline (Traditional),50,48.60808230123225
8,9,Baseline (Traditional),52.5,54.63129017259767
8,10,Baseline (Traditional),55,52.15604569659663
8,11,Baseline (Traditional),57.5,56.70404344947038
8,12,Baseline (Traditional),60,58.874506705926144
8,13,Baseline (Traditional),62.5,67.18370510081992
8,14,Baseline (Traditional),65,74.15493274368
8,15,Baseline (Traditional),67.5,63.2245735420037
9,1,Baseline (Traditional),32.5,40.124816754249686
9,2,Baseline (Traditional),35,43.52719087391547
9,3,Baseline (Traditional),37.5,38.42582545206141
9,4,Baseline (Traditional),40,43.58778295130878
9,5,Baseline (Traditional),42.5,35.54482915059392
9,6,Baseline (Traditional),45,46.87539176054213
9,7,Baseline (Traditional),47.5,45.32340930720905
9,8,Baseline (Traditional),50,49.33834338476621
9,9,Baseline (Traditional),52.5,54.70866625029125
9,10,Baseline (Traditional),55,59.13332084641399
9,11,Baseline (Traditional),57.5,57.31528478086582
9,12,Baseline (Traditional),60,70.55482925038315
9,13,Baseline (Traditional),62.5,64.85602299690007
9,14,Baseline (Traditional),65,64.19049066308315
9,15,Baseline (Traditional),67.5,69.26624055200953
10,1,Baseline (Traditional),32.5,32.098969191668665
10,2,Baseline (Traditional),35,30.626384032035567
10,3,Baseline (Traditional),37.5,39.5129893543306
10,4,Baseline (Traditional),40,43.79696036447054
10,5,Baseline (Traditional),42.5,44.03120822408925
10,6,Baseline (Traditional),45,46.48631284359221
10,7,Baseline (Traditional),47.5,48.1288656066057
10,8,Baseline (Traditional),50,53.3917595599015
10,9,Baseline (Traditional),52.5,47.366429373979294
10,10,Baseline (Traditional),55,59.633114432358404
10,11,Baseline (Traditional),57.5,53.86357514733605
10,12,Baseline (Traditional),60,61.33996282067432
10,13,Baseline (Traditional),62.5,65.60341632766563
10,14,Baseline (Traditional),65,65.94856060910404
10,15,Baseline (Traditional),67.5,61.2605194616512
11,1,Baseline (Traditional),32.5,32.59730700475553
11,2,Baseline (Traditional),35,36.33854075663315
11,3,Baseline (Traditional),37.5,41.45764399658856
11,4,Baseline (Traditional),40,42.00150045416639
11,5,Baseline (Traditional),42.5,44.807631461821806
11,6,Baseline (Traditional),45,49.570763760476424
11,7,Baseline (Traditional),47.5,44.67020874230809
11,8,Baseline (Traditional),50,47.52576143607549
11,9,Baseline (Traditional),52.5,52.46674321543018
11,10,Baseline (Traditional),55,56.35567893581076
11,11,Baseline (Traditional),57.5,63.121625195387324
11,12,Baseline (Traditional),60,56.53892059054946
11,13,Baseline (Traditional),62.5,59.00418417351963
11,14,Baseline (Traditional),65,68.0972728032996
11,15,Baseline (Traditional),67.5,65.892439033931
12,1,Baseline (Traditional),32.5,31.639448677856425
12,2,Baseline (Traditional),35,37.421024522056044
12,3,Baseline (Traditional),37.5,35.0417292654101
12,4,Baseline (Traditional),40,37.10230827430235
12,5,Baseline (Traditional),42.5,41.472229451272895
12,6,Baseline (Traditional),45,43.43170905460176
12,7,Baseline (Traditional),47.5,44.753192153021374
12,8,Baseline (Traditional),50,53.50336136052327
12,9,Baseline (Traditional),52.5,50.57576805583003
12,10,Baseline (Traditional),55,55.273430363472386
12,11,Baseline (Traditional),57.5,58.04809957126339
12,12,Baseline (Traditional),60,52.564925924517674
12,13,Baseline (Traditional),62.5,63.88510628544208
12,14,Baseline (Traditional),65,71.0065352797877
12,15,Baseline (Traditional),67.5,67.4450475186824
13,1,Baseline (Traditional),32.5,29.39901920995588
13,2,Baseline (Traditional),35,40.24463254270479
13,3,Baseline (Traditional),37.5,38.542098226219366
13,4,Baseline (Traditional),40,44.05606803050301
13,5,Baseline (Traditional),42.5,43.362376833898615
13,6,Baseline (Traditional),45,47.45361850436795
13,7,Baseline (Traditional),47.5,53.28395392424811
13,8,Baseline (Traditional),50,52.632343602980725
13,9,Baseline (Traditional),52.5,54.00093798596596
13,10,Baseline (Traditional),55,52.301246896247285
13,11,Baseline (Traditional),57.5,59.8219222931851
13,12,Baseline (Traditional),60,58.34308267109355
13,13,Baseline (Traditional),62.5,71.22201594156968
13,14,Baseline (Traditional),65,66.37143057460104
13,15,Baseline (Traditional),67.5,64.30790135237137
14,1,Baseline (Traditional),32.5,39.06414466501461
14,2,Baseline (Traditional),35,33.15997955339499
14,3,Baseline (Traditional),37.5,31.154116045575286
14,4,Baseline (Traditional),40,35.82033730371285
14,5,Baseline (Traditional),42.5,42.66661466354304
14,6,Baseline (Traditional),45,43.27189449009064
14,7,Baseline (Traditional),47.5,49.3343645907472
14,8,Baseline (Traditional),50,49.08259205576272
14,9,Baseline (Traditional),52.5,45.07215116063668
14,10,Baseline (Traditional),55,53.84130330807539
14,11,Baseline (Traditional),57.5,64.56856495147676
14,12,Baseline (Traditional),60,58.229268410796735
14,13,Baseline (Traditional),62.5,60.14454239199373
14,14,Baseline (Traditional),65,64.5176469665884
14,15,Baseline (Traditional),67.5,74.11224512744722
15,1,Baseline (Traditional),32.5,29.014581725481026
15,2,Baseline (Traditional),35,38.12267308343113
15,3,Baseline (Traditional),37.5,35.04448852272535
15,4,Baseline (Traditional),40,38.6896347547758
15,5,Baseline (Traditional),42.5,41.07913593639379
15,6,Baseline (Traditional),45,48.12373629746736
15,7,Baseline (Traditional),47.5,49.93468068714171
15,8,Baseline (Traditional),50,54.304716069893914
15,9,Baseline (Traditional),52.5,56.76223060925286
15,10,Baseline (Traditional),55,63.64658565131704
15,11,Baseline (Traditional),57.5,57.781825928209166
15,12,Baseline (Traditional),60,49.8590991216273
15,13,Baseline (Traditional),62.5,60.334663421106434
15,14,Baseline (Traditional),65,61.896241705835415
15,15,Baseline (Traditional),67.5,66.31617832704094
16,1,Baseline (Traditional),32.5,37.1054916216935
16,2,Baseline (Traditional),35,32.72444852987394
16,3,Baseline (Traditional),37.5,34.276854639899874
16,4,Baseline (Traditional),40,41.97037544736655
16,5,Baseline (Traditional),42.5,45.30303334932897
16,6,Baseline (Traditional),45,44.02749883379966
16,7,Baseline (Traditional),47.5,49.149924707689905
16,8,Baseline (Traditional),50,51.99266123743519
16,9,Baseline (Traditional),52.5,53.970716458492134
16,10,Baseline (Traditional),55,52.7175885232412
16,11,Baseline (Traditional),57.5,60.455266070857476
16,12,Baseline (Traditional),60,50.92683469734021
16,13,Baseline (Traditional),62.5,64.95616416020987
16,14,Baseline (Traditional),65,66.61454322399968
16,15,Baseline (Traditional),67.5,75.70631730679725
17,1,Baseline (Traditional),32.5,33.55297994886001
17,2,Baseline (Traditional),35,35.441684757786646
17,3,Baseline (Traditional),37.5,42.28305448514961
17,4,Baseline (Traditional),40,42.93323805453241
17,5,Baseline (Traditional),42.5,42.48195323383343
17,6,Baseline (Traditional),45,44.915138001619866
17,7,Baseline (Traditional),47.5,48.054006931926295
17,8,Baseline (Traditional),50,45.719491720186895
17,9,Baseline (Traditional),52.5,57.44424826790743
17,10,Baseline (Traditional),55,52.840759621058325
17,11,Baseline (Traditional),57.5,56.31508434137573
17,12,Baseline (Traditional),60,62.752875213398546
17,13,Baseline (Traditional),62.5,60.903970785088525
17,14,Baseline (Traditional),65,64.58606058860205
17,15,Baseline (Traditional),67.5,73.61813616238169
18,1,Baseline (Traditional),32.5,29.961454166204664
18,2,Baseline (Traditional),35,34.09258164360909
18,3,Baseline (Traditional),37.5,43.504336370931206
18,4,Baseline (Traditional),40,38.63014607048546
18,5,Baseline (Traditional),42.5,40.28508977595407
18,6,Baseline (Traditional),45,46.030507482795834
18,7,Baseline (Traditional),47.5,49.95248703460983
18,8,Baseline (Traditional),50,47.3908505328897
18,9,Baseline (Traditional),52.5,51.946875883652424
18,10,Baseline (Traditional),55,54.5054479925232
18,11,Baseline (Traditional),57.5,53.64117913446652
18,12,Baseline (Traditional),60,60.07617273606127
18,13,Baseline (Traditional),62.5,69.26676941279625
18,14,Baseline (Traditional),65,68.54323628589667
18,15,Baseline (Traditional),67.5,64.58027941806989
19,1,Baseline (Traditional),32.5,33.907538732392055
19,2,Baseline (Traditional),35,34.01067642695922
19,3,Baseline (Traditional),37.5,36.845632673106714
19,4,Baseline (Traditional),40,43.489442240832986
19,5,Baseline (Traditional),42.5,44.923752855533266
19,6,Baseline (Traditional),45,48.708963250451276
19,7,Baseline (Traditional),47.5,49.332177746604835
19,8,Baseline (Traditional),50,46.79554390314042
19,9,Baseline (Traditional),52.5,50.51150738801784
19,10,Baseline (Traditional),55,50.148128740582436
19,11,Baseline (Traditional),57.5,59.9788503974257
19,12,Baseline (Traditional),60,65.43865303182481
19,13,Baseline (Traditional),62.5,56.01574094914481
19,14,Baseline (Traditional),65,65.31823799742214
19,15,Baseline (Traditional),67.5,69.550372549227
20,1,Baseline (Traditional),32.5,31.62359224739648
20,2,Baseline (Traditional),35,31.696245221317838
20,3,Baseline (Traditional),37.5,33.44568702355264
20,4,Baseline (Traditional),40,45.128264984113244
20,5,Baseline (Traditional),42.5,41.651422003281525
20,6,Baseline (Traditional),45,49.73950894650562
20,7,Baseline (Traditional),47.5,44.897550252910854
20,8,Baseline (Traditional),50,55.14946908023411
20,9,Baseline (Traditional),52.5,54.65573286265327
20,10,Baseline (Traditional),55,55.10216221521563
20,11,Baseline (Traditional),57.5,62.15579013089842
20,12,Baseline (Traditional),60,58.52949707153132
20,13,Baseline (Traditional),62.5,61.046521721994495
20,14,Baseline (Traditional),65,64.97298654101822
20,15,Baseline (Traditional),67.5,67.09811000454144
21,1,Baseline (Traditional),32.5,31.90563168655552
21,2,Baseline (Traditional),35,34.26818897825227
21,3,Baseline (Traditional),37.5,34.067408649385
21,4,Baseline (Traditional),40,43.83263672871202
21,5,Baseline (Traditional),42.5,39.14369223267079
21,6,Baseline (Traditional),45,41.961102882753266
21,7,Baseline (Traditional),47.5,44.033940721855146
21,8,Baseline (Traditional),50,56.63610267472556
21,9,Baseline (Traditional),52.5,54.727769108842075
21,10,Baseline (Traditional),55,57.40554451864886
21,11,Baseline (Traditional),57.5,49.62085271558303
21,12,Baseline (Traditional),60,58.47956900410527
21,13,Baseline (Traditional),62.5,67.1310941762493
21,14,Baseline (Traditional),65,70.55853861665176
21,15,Baseline (Traditional),67.5,59.45396630089524
22,1,Baseline (Traditional),32.5,23.15476599849444
22,2,Baseline (Traditional),35,29.52616091955447
22,3,Baseline (Traditional),37.5,32.00762295858555
22,4,Baseline (Traditional),40,42.949554200341964
22,5,Baseline (Traditional),42.5,44.31883736700071
22,6,Baseline (Traditional),45,52.106725313213346
22,7,Baseline (Traditional),47.5,48.27994235291254
22,8,Baseline (Traditional),50,48.62154951144169
22,9,Baseline (Traditional),52.5,58.95070654059219
22,10,Baseline (Traditional),55,58.10283745444986
22,11,Baseline (Traditional),57.5,60.317116502457324
22,12,Baseline (Traditional),60,64.28861686407927
22,13,Baseline (Traditional),62.5,61.64347692125637
22,14,Baseline (Traditional),65,66.45452425564869
22,15,Baseline (Traditional),67.5,71.83425514629643
23,1,Baseline (Traditional),32.5,24.690895371346127
23,2,Baseline (Traditional),35,35.06204071446422
23,3,Baseline (Traditional),37.5,34.01607631984876
23,4,Baseline (Traditional),40,36.396263140356375
23,5,Baseline (Traditional),42.5,39.39555172946311
23,6,Baseline (Traditional),45,46.445723004616056
23,7,Baseline (Traditional),47.5,47.43060275094258
23,8,Baseline (Traditional),50,45.52721856080512
23,9,Baseline (Traditional),52.5,54.84676549937008
23,10,Baseline (Traditional),55,56.944780039696134
23,11,Baseline (Traditional),57.5,59.395577823186706
23,12,Baseline (Traditional),60,61.44570981156703
23,13,Baseline (Traditional),62.5,67.37073457484576
23,14,Baseline (Traditional),65,62.307532159473794
23,15,Baseline (Traditional),67.5,65.10460703265059
24,1,Baseline (Traditional),32.5,35.44349258604722
24,2,Baseline (Traditional),35,37.40695860589952
24,3,Baseline (Traditional),37.5,41.9355677587491
24,4,Baseline (Traditional),40,39.9544376064557
24,5,Baseline (Traditional),42.5,44.92014384274848
24,6,Baseline (Traditional),45,49.49411261269695
24,7,Baseline (Traditional),47.5,44.678551785159826
24,8,Baseline (Traditional),50,57.0498882867153
24,9,Baseline (Traditional),52.5,49.57991721802056
24,10,Baseline (Traditional),55,48.46336949287296
24,11,Baseline (Traditional),57.5,57.00402488030561
24,12,Baseline (Traditional),60,60.81655788122569
24,13,Baseline (Traditional),62.5,59.76704312228556
24,14,Baseline (Traditional),65,60.93455091319663
24,15,Baseline (Traditional),67.5,64.81426333746485
25,1,Baseline (Traditional),32.5,36.987451262801756
25,2,Baseline (Traditional),35,26.597345180062625
25,3,Baseline (Traditional),37.5,29.13651256167183
25,4,Baseline (Traditional),40,34.835599959519286
25,5,Baseline (Traditional),42.5,46.78796607809011
25,6,Baseline (Traditional),45,48.579480608334
25,7,Baseline (Traditional),47.5,44.12947080439555
25,8,Baseline (Traditional),50,50.18518996909662
25,9,Baseline (Traditional),52.5,54.99347259481016
25,10,Baseline (Traditional),55,56.94036780747495
25,11,Baseline (Traditional),57.5,59.627777893606726
25,12,Baseline (Traditional),60,60.78969072305624
25,13,Baseline (Traditional),62.5,63.80626713785155
25,14,Baseline (Traditional),65,59.239072033959246
25,15,Baseline (Traditional),67.5,75.9588363194809
26,1,Baseline (Traditional),32.5,31.761310747119506
26,2,Baseline (Traditional),35,36.96841731011632
26,3,Baseline (Traditional),37.5,32.054692057746315
26,4,Baseline (Traditional),40,38.53912976838446
26,5,Baseline (Traditional),42.5,45.524506236838
26,6,Baseline (Traditional),45,45.586011234064756
26,7,Baseline (Traditional),47.5,48.5477889940246
26,8,Baseline (Traditional),50,44.77536382510262
26,9,Baseline (Traditional),52.5,54.46865612977531
26,10,Baseline (Traditional),55,52.95558399728383
26,11,Baseline (Traditional),57.5,50.85770183445602
26,12,Baseline (Traditional),60,62.48950548346517
26,13,Baseline (Traditional),62.5,62.562924045129094
26,14,Baseline (Traditional),65,62.06445149614247
26,15,Baseline (Traditional),67.5,68.60084455185992
27,1,Baseline (Traditional),32.5,25.065045635962015
27,2,Baseline (Traditional),35,43.315561467343116
27,3,Baseline (Traditional),37.5,28.056478691174828
27,4,Baseline (Traditional),40,41.308541589183584
27,5,Baseline (Traditional),42.5,41.58990909488598
27,6,Baseline (Traditional),45,40.277618743527796
27,7,Baseline (Traditional),47.5,48.82168612623874
27,8,Baseline (Traditional),50,48.37226087982515
27,9,Baseline (Traditional),52.5,58.600892960739905
27,10,Baseline (Traditional),55,50.587264526800055
27,11,Baseline (Traditional),57.5,62.84757029820149
27,12,Baseline (Traditional),60,62.2108416122787
27,13,Baseline (Traditional),62.5,58.273894330433556
27,14,Baseline (Traditional),65,64.2392680214259
27,15,Baseline (Traditional),67.5,63.86310329565249
28,1,Baseline (Traditional),32.5,24.496337974724884
28,2,Baseline (Traditional),35,42.63588346156274
28,3,Baseline (Traditional),37.5,43.7759208216711
28,4,Baseline (Traditional),40,40.561204901245816
28,5,Baseline (Traditional),42.5,36.81776214158952
28,6,Baseline (Traditional),45,47.052267198049634
28,7,Baseline (Traditional),47.5,43.550155204434276
28,8,Baseline (Traditional),50,52.388895665797826
28,9,Baseline (Traditional),52.5,55.97144160241746
28,10,Baseline (Traditional),55,55.75703105583769
28,11,Baseline (Traditional),57.5,57.222774372345924
28,12,Baseline (Traditional),60,64.30503735741459
28,13,Baseline (Traditional),62.5,66.78356529504549
28,14,Baseline (Traditional),65,66.68653350971057
28,15,Baseline (Traditional),67.5,67.00180087747867
29,1,Baseline (Traditional),32.5,36.24876826115803
29,2,Baseline (Traditional),35,35.80247650557378
29,3,Baseline (Traditional),37.5,43.29271537169369
29,4,Baseline (Traditional),40,34.871269738505084
29,5,Baseline (Traditional),42.5,42.161783157809666
29,6,Baseline (Traditional),45,49.40645581266728
29,7,Baseline (Traditional),47.5,44.73720169877842
29,8,Baseline (Traditional),50,43.09833844329094
29,9,Baseline (Traditional),52.5,54.76354276944356
29,10,Baseline (Traditional),55,52.61536633110128
29,11,Baseline (Traditional),57.5,55.542619902966166
29,12,Baseline (Traditional),60,63.075573443289876
29,13,Baseline (Traditional),62.5,70.95844756132846
29,14,Baseline (Traditional),65,65.17912393418429
29,15,Baseline (Traditional),67.5,71.28896427926327
30,1,Baseline (Traditional),32.5,24.0019651665984
30,2,Baseline (Traditional),35,35.361713305830904
30,3,Baseline (Traditional),37.5,30.54340482958424
30,4,Baseline (Traditional),40,33.1908466786892
30,5,Baseline (Traditional),42.5,48.13318558116431
30,6,Baseline (Traditional),45,47.7926724508894
30,7,Baseline (Traditional),47.5,49.8043417566952
30,8,Baseline (Traditional),50,47.862655758115864
30,9,Baseline (Traditional),52.5,47.372054596873895
30,10,Baseline (Traditional),55,56.718456873763856
30,11,Baseline (Traditional),57.5,52.9822492837511
30,12,Baseline (Traditional),60,69.67905471773513
30,13,Baseline (Traditional),62.5,62.81310441792389
30,14,Baseline (Traditional),65,66.26490093657186
30,15,Baseline (Traditional),67.5,61.18239916532599
31,1,Baseline (Traditional),32.5,34.57562248012827
31,2,Baseline (Traditional),35,39.54156953770059
31,3,Baseline (Traditional),37.5,38.74961785562201
31,4,Baseline (Traditional),40,40.22217652035596
31,5,Baseline (Traditional),42.5,48.761811293334915
31,6,Baseline (Traditional),45,47.87532306458871
31,7,Baseline (Traditional),47.5,50.03730284431922
31,8,Baseline (Traditional),50,54.263626758011505
31,9,Baseline (Traditional),52.5,53.86755421699445
31,10,Baseline (Traditional),55,67.57346856217997
31,11,Baseline (Traditional),57.5,58.89980333007615
31,12,Baseline (Traditional),60,64.29334181004546
31,13,Baseline (Traditional),62.5,66.16575148997842
31,14,Baseline (Traditional),65,67.87062761451836
31,15,Baseline (Traditional),67.5,71.72194011898769
32,1,Baseline (Traditional),32.5,33.902368797883724
32,2,Baseline (Traditional),35,27.255846080437724
32,3,Baseline (Traditional),37.5,34.29703223566289
32,4,Baseline (Traditional),40,49.37175832852356
32,5,Baseline (Traditional),42.5,50.18351355787152
32,6,Baseline (Traditional),45,44.56184544021245
32,7,Baseline (Traditional),47.5,37.4487168546454
32,8,Baseline (Traditional),50,46.9615054677503
32,9,Baseline (Traditional),52.5,46.478148548732676
32,10,Baseline (Traditional),55,48.28701716656456
32,11,Baseline (Traditional),57.5,61.30039450540042
32,12,Baseline (Traditional),60,60.499814373275925
32,13,Baseline (Traditional),62.5,68.25356788832248
32,14,Baseline (Traditional),65,59.698595136018895
32,15,Baseline (Traditional),67.5,63.48426162730648
33,1,Baseline (Traditional),32.5,35.06883426324448
33,2,Baseline (Traditional),35,39.626204321449535
33,3,Baseline (Traditional),37.5,36.80570607997805
33,4,Baseline (Traditional),40,36.1417236054803
33,5,Baseline (Traditional),42.5,49.91519606519538
33,6,Baseline (Traditional),45,51.737460443191026
33,7,Baseline (Traditional),47.5,51.72924856264716
33,8,Baseline (Traditional),50,53.25824650619638
33,9,Baseline (Traditional),52.5,47.721612263574286
33,10,Baseline (Traditional),55,46.88457365544685
33,11,Baseline (Traditional),57.5,65.9963461590425
33,12,Baseline (Traditional),60,61.1968762512525
33,13,Baseline (Traditional),62.5,59.201427795402644
33,14,Baseline (Traditional),65,71.09738271155781
33,15,Baseline (Traditional),67.5,65.04071837707687
34,1,Baseline (Traditional),32.5,30.66095734606496
34,2,Baseline (Traditional),35,36.774563950333786
34,3,Baseline (Traditional),37.5,31.91607410220073
34,4,Baseline (Traditional),40,37.99008855348731
34,5,Baseline (Traditional),42.5,38.25760487104819
34,6,Baseline (Traditional),45,49.69842863052187
34,7,Baseline (Traditional),47.5,48.82148583862614
34,8,Baseline (Traditional),50,48.84626711773554
34,9,Baseline (Traditional),52.5,57.786248410571126
34,10,Baseline (Traditional),55,54.81810389058456
34,11,Baseline (Traditional),57.5,56.64082439353249
34,12,Baseline (Traditional),60,60.5392180496726
34,13,Baseline (Traditional),62.5,59.92000999965953
34,14,Baseline (Traditional),65,65.2282876621164
34,15,Baseline (Traditional),67.5,71.22473868618131
35,1,Baseline (Traditional),32.5,33.31465380910505
35,2,Baseline (Traditional),35,41.50318449379885
35,3,Baseline (Traditional),37.5,35.12657616511718
35,4,Baseline (Traditional),40,38.76572367177621
35,5,Baseline (Traditional),42.5,47.84579331411722
35,6,Baseline (Traditional),45,40.17414362190067
35,7,Baseline (Traditional),47.5,41.86447276919504
35,8,Baseline (Traditional),50,52.57769849501658
35,9,Baseline (Traditional),52.5,50.86453028406158
35,10,Baseline (Traditional),55,51.08305452070006
35,11,Baseline (Traditional),57.5,53.791075134322966
35,12,Baseline (Traditional),60,63.17081647414048
35,13,Baseline (Traditional),62.5,59.743603856098844
35,14,Baseline (Traditional),65,64.83339343831378
35,15,Baseline (Traditional),67.5,64.3575248919214
36,1,Baseline (Traditional),32.5,34.2378218346564
36,2,Baseline (Traditional),35,32.337732392613574
36,3,Baseline (Traditional),37.5,39.29974452027938
36,4,Baseline (Traditional),40,37.80783814619138
36,5,Baseline (Traditional),42.5,49.92774764832491
36,6,Baseline (Traditional),45,46.608312484463
36,7,Baseline (Traditional),47.5,40.0415872577577
36,8,Baseline (Traditional),50,55.49972208189053
36,9,Baseline (Traditional),52.5,52.201585977838505
36,10,Baseline (Traditional),55,55.91117559884656
36,11,Baseline (Traditional),57.5,63.054624772933316
36,12,Baseline (Traditional),60,61.623288509401625
36,13,Baseline (Traditional),62.5,72.74547039472822
36,14,Baseline (Traditional),65,62.89466172082501
36,15,Baseline (Traditional),67.5,68.90962957508277
37,1,Baseline (Traditional),32.5,34.40064456516532
37,2,Baseline (Traditional),35,38.16762043403722
37,3,Baseline (Traditional),37.5,40.825084118803076
37,4,Baseline (Traditional),40,42.19479171938497
37,5,Baseline (Traditional),42.5,37.53090007628794
37,6,Baseline (Traditional),45,43.34651867262605
37,7,Baseline (Traditional),47.5,47.78415474144549
37,8,Baseline (Traditional),50,48.022912727713255
37,9,Baseline (Traditional),52.5,53.788573071974774
37,10,Baseline (Traditional),55,51.81428346249719
37,11,Baseline (Traditional),57.5,61.12846512554664
37,12,Baseline (Traditional),60,60.83015660139193
37,13,Baseline (Traditional),62.5,64.69136962001893
37,14,Baseline (Traditional),65,64.11321886280024
37,15,Baseline (Traditional),67.5,64.77281127128798
38,1,Baseline (Traditional),32.5,38.33942827895632
38,2,Baseline (Traditional),35,31.549968449645345
